code,system
14AB.00,readv2
100015.0,med
105738.0,med
10794.0,med
1195.0,med
1433.0,med
15788.0,med
16507.0,med
1895.0,med
18996.0,med
19004.0,med
19354.0,med
2417.0,med
28278.0,med
504.0,med
5268.0,med
63746.0,med
6489.0,med
14AB000,readv2
F423600,readv2
1B1S.00,readv2
G655.00,readv2
Z7CE700,readv2
Z7CE711,readv2
8CRB.00,readv2
G65..00,readv2
G65..12,readv2
G657.00,readv2
G65z.00,readv2
G65z100,readv2
G65zz00,readv2
ZV12D00,readv2
Fyu5500,readv2
G65y.00,readv2
G65..13,readv2
G650.11,readv2
G656.00,readv2
101251.0,med
105202.0,med
13567.0,med
G45.0,icd10
G45.1,icd10
G45.2,icd10
G45.8,icd10
G45.3,icd10
G45.4,icd10
G45.9,icd10
G46.0,icd10
G46.1,icd10
G46.2,icd10
I65,icd10
I66,icd10
